id,violcount
09_17_58,0.5
09_17_59,1
09_17_6,0.5
09_17_60,17.0
09_17_61,6.0
09_17_62,3.0
09_17_63,1.5
09_17_64,0
09_17_65,3
09_17_66,8.5
09_17_67,1.5
09_17_68,2
09_17_69,2.5
09_17_7,0
09_17_70,1.0
09_17_71,3.5
09_17_72,5.5
09_17_73,1.0
09_17_74,2.5
09_17_75,0.5
09_17_76,1.5
09_17_77,2
09_17_78,2
09_17_79,0
09_17_8,0
09_17_80,3.5
09_17_81,1
09_17_82,3
09_17_9,0
09_18_0,3.5
09_18_1,0
09_18_10,3.0
09_18_11,1.5
09_18_12,0.5
09_18_13,4.5
09_18_14,1
09_18_15,2
09_18_16,17
09_18_17,1
09_18_18,0.5
09_18_19,1
09_18_2,2.0
09_18_20,2
09_18_21,0
09_18_22,5.0
09_18_23,4.5
09_18_24,5.5
09_18_25,1.5
09_18_26,1.5
09_18_27,2.5
09_18_28,0
09_18_29,4
09_18_3,5.0
09_18_30,0
09_18_31,11.0
09_18_32,2.5
09_18_33,2
09_18_34,4.5
09_18_35,2.5
09_18_36,3
09_18_37,3
09_18_38,2
09_18_39,0
09_18_4,4
09_18_40,1
09_18_41,2
09_18_42,3
09_18_43,3
09_18_44,1
09_18_45,0
09_18_46,1
09_18_5,0
09_18_6,5.0
09_18_7,10.5
09_18_8,7.5
09_18_9,0
09_19_0,2.5
09_20_0,3
09_20_1,2
09_20_2,2.0
09_20_3,3.5
09_20_4,2.5
09_20_5,2.5
09_20_6,0.5
09_21_0,0
09_21_1,0
09_21_10,0.5
09_21_11,1.5
09_21_12,0
09_21_2,0
09_21_3,0
09_21_4,0
09_21_5,0
09_21_6,0
09_21_7,0
09_21_8,0.5
09_21_9,1.0
09_22_0,0
09_22_1,0
09_22_10,1.0
09_22_11,6
09_22_12,0.5
09_22_13,2.5
09_22_14,2.5
09_22_15,2
09_22_16,0
09_22_17,0
09_22_18,0
09_22_19,3.5
09_22_2,8
09_22_20,2.0
09_22_21,1.5
09_22_22,2.5
09_22_23,3
09_22_24,5.5
09_22_3,1
09_22_4,0.5
09_22_5,0
09_22_6,1.0
09_22_7,5.5
09_22_8,1
09_22_9,1
09_23_0,0.5
09_24_0,2.0
09_24_1,1.0
09_24_10,2.5
09_24_11,1.0
09_24_12,1.5
09_24_13,3
09_24_14,4.5
09_24_15,4.0
09_24_16,2
09_24_17,1.0
09_24_18,3.5
09_24_19,2.5
09_24_2,1.5
09_24_20,4.5
09_24_3,1
09_24_4,2.0
09_24_5,0
09_24_6,4.0
09_24_7,3.0
09_24_8,0
09_24_9,8.0
09_25_0,1.5
09_25_1,1.0
09_25_10,2.5
09_25_11,3.5
09_25_12,1.5
09_25_13,2.0
09_25_14,1.5
09_25_15,2
09_25_16,0.5
09_25_17,2.5
09_25_18,3.5
09_25_19,8.5
09_25_2,2
09_25_20,3.5
09_25_21,2.5
09_25_22,2.5
09_25_23,3.5
09_25_3,0.5
09_25_4,0
09_25_5,0
09_25_6,2
09_25_7,0
09_25_8,5.5
09_25_9,1
09_26_0,2
09_26_1,6.0
09_26_10,12.5
09_26_11,5.0
09_26_12,1
09_26_13,3.0
09_26_14,9.5
09_26_15,11.0
09_26_16,3
09_26_17,6
09_26_18,8.5
09_26_19,2.5
09_26_2,8.0
09_26_20,0.5
09_26_21,10.5
09_26_22,6.0
09_26_23,6
09_26_24,1
09_26_25,4
09_26_26,5.5
09_26_27,6.5
09_26_28,5.0
09_26_29,6.0
09_26_3,1.0
09_26_30,8.5
09_26_31,2.5
09_26_32,1.5
09_26_33,5.0
09_26_34,4
09_26_35,8.5
09_26_36,3.5
09_26_37,4.0
09_26_38,1.5
09_26_39,3.0
09_26_4,1
09_26_40,0.5
09_26_41,2.0
09_26_42,1
09_26_43,5.0
09_26_44,10.5
09_26_45,2.0
09_26_46,1
09_26_47,4.5
09_26_48,4.5
09_26_49,6.5
09_26_5,1.0
09_26_50,9.5
09_26_51,3.5
09_26_52,3.5
09_26_53,1
09_26_6,0
09_26_7,3.5
09_26_8,8.0
09_26_9,9.0
09_27_0,3.0
09_27_1,7.5
09_27_10,14.5
09_27_11,4.0
09_27_12,8.5
09_27_13,8
09_27_14,4
09_27_15,0
09_27_16,8.5
09_27_17,3
09_27_18,3.5
09_27_19,4.5
09_27_2,6.5
09_27_20,4.5
09_27_21,9.0
09_27_22,4
09_27_23,1
09_27_24,8.5
09_27_3,7.0
09_27_4,4
09_27_5,8.0
09_27_6,3.5
09_27_7,2.0
09_27_8,7.0
09_27_9,24.5
09_28_0,0
09_28_1,1
09_28_2,0.5
09_28_3,2
09_28_4,0
09_28_5,0
09_28_6,0
10_01_0,3
10_01_1,0.5
10_01_2,0
10_01_3,0
10_01_4,2.5
10_02_0,0.5
10_03_0,1
10_04_0,3.5
10_04_1,8.0
10_04_10,6.5
10_04_11,4.0
10_04_12,3.5
10_04_13,11.0
10_04_14,3
10_04_15,5.5
10_04_16,12.0
10_04_17,8.5
10_04_18,5.5
10_04_19,4
10_04_2,9.0
10_04_20,2.5
10_04_21,3.0
10_04_22,6.5
10_04_23,8.5
10_04_24,3
10_04_25,3.5
10_04_26,1.5
10_04_27,0.5
10_04_28,2.0
10_04_29,5.5
10_04_3,6
10_04_30,3.0
10_04_31,3
10_04_32,4.5
10_04_33,2.0
10_04_34,3.0
