id,violcount
02_62_0,0
02_62_1,0.5
02_62_10,1
02_62_11,1.5
02_62_12,0
02_62_13,0
02_62_14,5
02_62_15,5.5
02_62_16,2.0
02_62_17,0.5
02_62_18,2.5
02_62_19,0.5
02_62_2,3.5
02_62_20,2.5
02_62_21,2.5
02_62_22,1
02_62_23,3.5
02_62_24,4.0
02_62_25,0.5
02_62_3,0
02_62_4,1.0
02_62_5,11.0
02_62_6,22.5
02_62_7,2.5
02_62_8,0
02_62_9,1.5
02_63_0,0
02_63_1,6
02_63_10,0
02_63_11,3.5
02_63_12,2.0
02_63_13,0
02_63_14,0
02_63_15,4
02_63_16,6.5
02_63_17,8.0
02_63_18,2
02_63_19,7.5
02_63_2,3
02_63_20,17.0
02_63_21,4.5
02_63_22,8.5
02_63_23,0.5
02_63_24,9.5
02_63_25,6.0
02_63_26,6.0
02_63_27,3
02_63_28,7.5
02_63_29,4.5
02_63_3,4
02_63_30,2.5
02_63_31,3.5
02_63_32,1
02_63_33,1.5
02_63_34,1.5
02_63_4,3
02_63_5,2
02_63_6,5.0
02_63_7,3.0
02_63_8,0.5
02_63_9,2
02_64_0,0.5
02_64_1,0
02_64_2,4.0
02_64_3,2.5
02_65_0,0.5
02_65_1,7.0
02_65_2,5.5
03_01_0,0
03_01_1,0
03_02_0,0.5
03_03_0,0.5
03_03_1,0
03_03_2,0
03_03_3,0
03_03_4,0
03_03_5,1
03_04_0,0.5
03_04_1,0.5
03_04_10,4
03_04_11,4.0
03_04_12,2
03_04_13,3.5
03_04_14,3
03_04_15,2
03_04_16,1
03_04_17,0
03_04_18,2.5
03_04_19,2
03_04_2,1
03_04_20,1
03_04_21,2
03_04_22,0
03_04_23,6.0
03_04_24,3
03_04_25,0.5
03_04_26,3.0
03_04_3,1.5
03_04_4,1.5
03_04_5,1
03_04_6,4.0
03_04_7,1.5
03_04_8,0
03_04_9,1
03_05_0,0.5
03_06_0,1.5
03_06_1,5
03_06_2,1.5
03_06_3,0
03_07_0,0
03_07_1,0.5
03_07_10,0.5
03_07_2,0.5
03_07_3,3
03_07_4,2.5
03_07_5,4
03_07_6,2.5
03_07_7,0.5
03_07_8,1
03_07_9,2.5
03_08_0,1
03_08_1,1.5
03_08_10,0
03_08_11,2.0
03_08_12,1.5
03_08_13,1
03_08_14,7.0
03_08_15,5.0
03_08_2,0.5
03_08_3,2.0
03_08_4,1.5
03_08_5,2.0
03_08_6,0
03_08_7,0
03_08_8,1.5
03_08_9,2.0
03_09_0,0
03_10_0,1
03_10_1,0
03_11_0,0
03_11_1,0
03_11_10,0
03_11_2,0
03_11_3,0.5
03_11_4,0.5
03_11_5,1.0
03_11_6,0.5
03_11_7,1
03_11_8,0
03_11_9,0
03_12_0,1.0
03_12_1,0
03_12_2,0.5
03_12_3,0.5
03_12_4,0
03_12_5,0.5
03_12_6,0
03_12_7,1.5
03_12_8,2.0
03_13_0,0
03_14_0,0
03_14_1,0
03_14_2,0.5
03_14_3,0.5
03_14_4,2
03_15_0,0
03_15_1,0.5
03_15_2,3.0
03_16_0,0
03_17_0,0
03_17_1,1.0
03_17_2,0
03_17_3,0.5
03_17_4,0
03_17_5,0
03_18_0,1
03_18_1,0
03_18_10,2.5
03_18_11,2.5
03_18_2,0
03_18_3,0
03_18_4,0
03_18_5,0
03_18_6,2
03_18_7,6.5
03_18_8,4.5
03_18_9,0
03_19_0,0
03_19_1,0
03_19_2,0
03_20_0,0
03_20_1,0.5
03_21_0,1.0
03_21_1,1.0
03_21_2,2
03_21_3,3.0
03_21_4,5.0
03_21_5,0
03_21_6,1
03_21_7,11.0
03_21_8,2.5
03_21_9,1.5
03_22_0,2.0
03_22_1,3.5
03_22_2,2.5
03_22_3,0.5
03_22_4,0
03_22_5,1.5
03_22_6,2
03_23_0,1
03_23_1,0.5
03_23_2,4
03_23_3,3
03_23_4,0
03_23_5,4.5
03_23_6,1.0
03_24_0,14.0
03_24_1,3.5
03_24_2,7.5
03_24_3,0.5
03_24_4,5
03_24_5,14.5
03_24_6,11.0
03_24_7,2
03_25_0,1.5
03_25_1,0
03_25_2,19.0
03_25_3,0
03_25_4,5
03_25_5,1
03_25_6,2
03_25_7,1.5
03_25_8,2
03_25_9,0
03_26_0,8.5
03_26_1,0
03_27_0,4
03_28_0,2
03_28_1,3.5
03_28_10,0
03_28_11,1.5
03_28_12,2.0
03_28_13,5.5
03_28_14,1.5
03_28_15,4.0
03_28_16,1.5
03_28_17,0
03_28_18,0
03_28_19,0
03_28_2,4.0
03_28_20,0
03_28_21,4
03_28_22,2.5
03_28_23,3
03_28_24,0
03_28_25,0.5
03_28_26,0.5
03_28_3,0.5
03_28_4,1
03_28_5,1
03_28_6,0.5
03_28_7,3
03_28_8,6
03_28_9,1
03_29_0,0
03_30_0,1
03_30_1,0
03_30_2,0
03_30_3,1.5
03_31_0,4.0
03_31_1,10.5
03_32_0,0.5
03_32_1,1.5
03_32_2,0
03_33_0,5.0
03_34_0,4.0
03_35_0,0
03_35_1,0.5
03_36_0,0
03_36_1,1
03_37_0,0.5
03_37_1,0
03_37_10,0
03_37_11,3.0
03_37_12,1
03_37_13,0
03_37_14,1.5
03_37_15,3
03_37_16,5.0
03_37_17,5.0
03_37_18,5.5
03_37_19,1.5
03_37_2,2.0
03_37_20,3.0
03_37_21,2.0
03_37_22,4.5
03_37_23,14.0
03_37_24,5.5
03_37_25,3.5
03_37_26,2.0
03_37_27,4.5
03_37_28,0
03_37_29,0.5
03_37_3,2
03_37_30,1
03_37_31,3.0
03_37_32,2.0
03_37_33,0
03_37_34,5.5
03_37_35,6
03_37_36,1
03_37_37,0.5
03_37_4,13.0
03_37_5,10.0
03_37_6,1
03_37_7,1.5
03_37_8,2.0
03_37_9,0.5
03_38_0,0
03_39_0,7.5
03_39_1,4.5
03_40_0,0
03_40_1,0
03_40_2,0
03_40_3,2
03_40_4,0
03_40_5,0
03_40_6,0
03_40_7,0
03_41_0,0
03_41_1,0.5
03_41_2,1.0
03_41_3,2
03_42_0,0
03_43_0,0
03_43_1,0.5
03_43_10,1.0
03_43_2,1
03_43_3,0
03_43_4,10.0
03_43_5,1.0
03_43_6,1.5
03_43_7,0
03_43_8,0
03_43_9,1
03_44_0,0
03_44_1,0
03_44_2,0
03_44_3,0.5
