Wrangle	Wrangle	np1	Wrangle	Wrangle	0
pro	pro	fw-la	pro	pro	0
quibus	quibus	fw-la	quibus	quibus	0
omnibus	omnibus	fw-la	omnibus	omnibus	0
ratificandis	ratificandis	fw-la	ratificandis	ratificandis	0
idem	idem	fw-la	idem	idem	0
Rex	Rex	fw-la	Rex	rex	0
Edwardus	Edwardus	fw-la	Edwardus	edwardus	0
in	in	p-acp	in	in	0
Franciam	Franciam	fw-la	Franciam	franciam	0
nuncios	nuncios	fw-la	nuncios	nuncios	0
suos	suos	fw-la	suos	suos	0
direxit	direxit	fw-la	direxit	direxit	0
;	;	;	;	;	0
quibus	quibus	fw-la	quibus	quibus	0
omnibus	omnibus	fw-la	omnibus	omnibus	0
Franci	Franci	np1	Franci	Franci	0
contradixerunt	contradixerunt	fw-la	contradixerunt	contradixerunt	0
.	.	.	.	.	1
Unde	Unde	fw-la	Unde	unde	0
motus	motus	fw-la	motus	motus	0
Rex	Rex	fw-la	Rex	rex	0
Anglias	Anglias	np1	Anglias	Anglias	0
,	,	,	,	,	0
celeriter	celeriter	fw-la	celeriter	celeriter	0
se	se	fw-la	se	se	0
&	&	cc	&	and	0
suos	suos	fw-la	suos	suos	0
praeparavit	praeparavit	fw-la	praeparavit	praeparavit	0
ad	ad	fw-la	ad	ad	0
transfretandum	transfretandum	fw-la	transfretandum	transfretandum	0
,	,	,	,	,	0
ducens	ducens	fw-la	ducens	ducens	0
secum	secum	fw-la	secum	secum	0
principem	principem	fw-la	principem	principem	0
Walliae	Walliae	fw-la	Walliae	walliae	0
Edwardum	Edwardum	fw-la	Edwardum	edwardum	0
suum	suum	fw-la	suum	suum	0
primogenitum	primogenitum	fw-la	primogenitum	primogenitum	0
,	,	,	,	,	0
ducem	ducem	fw-la	ducem	ducem	0
Henricum	Henricum	np1	Henricum	Henricum	0
Lancastriae	Lancastriae	fw-la	Lancastriae	lancastriae	0
,	,	,	,	,	0
&	&	cc	&	and	0
fere	fere	n1	fere	fere	0
proceres	proceres	fw-la	proceres	proceres	0
omnes	omnes	fw-la	omnes	omnes	0
,	,	,	,	,	0
quos	quos	fw-la	quos	quos	0
comitabantur	comitabantur	fw-la	comitabantur	comitabantur	0
