Source,Target,Type,Id,Label,timeset,Weight
5,368,Undirected,47530,,,0.515402
5,87,Undirected,47531,,,0.658379
5,163,Undirected,47532,,,0.516818
5,398,Undirected,47533,,,0.409957
5,359,Undirected,47534,,,0.415382
5,70,Undirected,47535,,,0.747412
5,379,Undirected,47536,,,0.538397
5,93,Undirected,47537,,,0.628468
5,274,Undirected,47538,,,0.624506
5,645,Undirected,47539,,,0.445635
5,721,Undirected,47540,,,0.50146
5,703,Undirected,47541,,,0.505783
5,580,Undirected,47542,,,0.586508
5,684,Undirected,47543,,,0.50582
5,416,Undirected,47544,,,0.472908
5,92,Undirected,47545,,,0.69539
5,241,Undirected,47546,,,0.692172
5,318,Undirected,47547,,,0.557979
5,144,Undirected,47548,,,0.604633
5,891,Undirected,47549,,,0.417138
5,892,Undirected,47550,,,0.385363
5,240,Undirected,47551,,,0.563442
5,584,Undirected,47552,,,0.493329
5,901,Undirected,47553,,,0.484059
5,384,Undirected,47554,,,0.639353
5,96,Undirected,47555,,,0.744191
5,98,Undirected,47556,,,0.708616
5,67,Undirected,47557,,,0.705961
5,235,Undirected,47558,,,0.705625
5,74,Undirected,47559,,,0.704671
5,7,Undirected,47560,,,0.704592
5,99,Undirected,47561,,,0.696842
5,557,Undirected,47562,,,0.557868
5,131,Undirected,47563,,,0.545409
5,150,Undirected,47564,,,0.527921
5,956,Undirected,47565,,,0.535134
5,842,Undirected,47566,,,0.529673
5,972,Undirected,47567,,,0.519497
5,409,Undirected,47568,,,0.45176
5,249,Undirected,47569,,,0.624857
5,884,Undirected,47570,,,0.497549
5,990,Undirected,47571,,,0.466995
5,185,Undirected,47572,,,0.588933
5,610,Undirected,47573,,,0.569608
5,623,Undirected,47574,,,0.530255
5,995,Undirected,47575,,,0.461182
5,615,Undirected,47576,,,0.442661
5,410,Undirected,47577,,,0.568881
5,302,Undirected,47578,,,0.596665
5,296,Undirected,47579,,,0.592228
5,747,Undirected,47580,,,0.528405
5,987,Undirected,47581,,,0.435347
5,938,Undirected,47582,,,0.435099
5,1012,Undirected,47583,,,0.421698
5,346,Undirected,47584,,,0.650583
5,212,Undirected,47585,,,0.45301
5,216,Undirected,47586,,,0.498305
5,412,Undirected,47587,,,0.483402
6,166,Undirected,47588,,,0.535169
6,120,Undirected,47589,,,0.667248
6,122,Undirected,47590,,,0.652056
6,238,Undirected,47591,,,0.577924
6,349,Undirected,47592,,,0.598373
6,368,Undirected,47593,,,0.49469
6,369,Undirected,47594,,,0.448942
6,378,Undirected,47595,,,0.488161
6,217,Undirected,47596,,,0.645031
6,401,Undirected,47597,,,0.554762
6,407,Undirected,47598,,,0.48
6,443,Undirected,47599,,,0.503487
6,457,Undirected,47600,,,0.695474
6,93,Undirected,47601,,,0.642487
6,474,Undirected,47602,,,0.531146
6,269,Undirected,47603,,,0.639941
6,535,Undirected,47604,,,0.379169
6,169,Undirected,47605,,,0.657157
6,559,Undirected,47606,,,0.516237
6,572,Undirected,47607,,,0.554608
6,192,Undirected,47608,,,0.61356
6,239,Undirected,47609,,,0.70746
6,246,Undirected,47610,,,0.51107
6,124,Undirected,47611,,,0.58245
6,362,Undirected,47612,,,0.578323
6,199,Undirected,47613,,,0.57868
6,329,Undirected,47614,,,0.536175
6,664,Undirected,47615,,,0.467071
6,7,Undirected,47616,,,0.741236
6,713,Undirected,47617,,,0.469374
6,634,Undirected,47618,,,0.631864
6,719,Undirected,47619,,,0.467281
6,720,Undirected,47620,,,0.589578
6,723,Undirected,47621,,,0.536319
6,301,Undirected,47622,,,0.619034
6,117,Undirected,47623,,,0.627891
6,761,Undirected,47624,,,0.442287
6,537,Undirected,47625,,,0.585448
6,767,Undirected,47626,,,0.559044
6,580,Undirected,47627,,,0.569998
6,749,Undirected,47628,,,0.536012
6,233,Undirected,47629,,,0.646952
6,513,Undirected,47630,,,0.5146
6,543,Undirected,47631,,,0.559945
6,54,Undirected,47632,,,0.704334
6,48,Undirected,47633,,,0.623462
6,416,Undirected,47634,,,0.461319
6,92,Undirected,47635,,,0.706825
6,241,Undirected,47636,,,0.700136
6,854,Undirected,47637,,,0.441042
6,387,Undirected,47638,,,0.538233
6,576,Undirected,47639,,,0.455144
6,864,Undirected,47640,,,0.436375
6,206,Undirected,47641,,,0.599285
6,34,Undirected,47642,,,0.659751
6,105,Undirected,47643,,,0.680111
6,591,Undirected,47644,,,0.638125
6,67,Undirected,47645,,,0.71202
6,456,Undirected,47646,,,0.494487
6,205,Undirected,47647,,,0.6612
6,260,Undirected,47648,,,0.627944
6,896,Undirected,47649,,,0.520275
6,638,Undirected,47650,,,0.506099
6,47,Undirected,47651,,,0.64205
6,8,Undirected,47652,,,0.713242
6,793,Undirected,47653,,,0.430272
6,49,Undirected,47654,,,0.514679
6,37,Undirected,47655,,,0.751604
6,119,Undirected,47656,,,0.74724
6,96,Undirected,47657,,,0.745939
6,143,Undirected,47658,,,0.72249
6,98,Undirected,47659,,,0.717659
6,479,Undirected,47660,,,0.636433
6,593,Undirected,47661,,,0.44277
6,480,Undirected,47662,,,0.422204
6,901,Undirected,47663,,,0.50398
6,909,Undirected,47664,,,0.5352
6,45,Undirected,47665,,,0.598925
6,128,Undirected,47666,,,0.562648
6,536,Undirected,47667,,,0.393341
6,272,Undirected,47668,,,0.618558
6,384,Undirected,47669,,,0.641959
6,837,Undirected,47670,,,0.527364
6,921,Undirected,47671,,,0.486725
6,548,Undirected,47672,,,0.617543
6,10,Undirected,47673,,,0.67333
6,208,Undirected,47674,,,0.572278
6,50,Undirected,47675,,,0.630423
6,680,Undirected,47676,,,0.549373
6,131,Undirected,47677,,,0.539644
6,360,Undirected,47678,,,0.53379
6,310,Undirected,47679,,,0.532405
6,183,Undirected,47680,,,0.594761
6,508,Undirected,47681,,,0.622644
6,944,Undirected,47682,,,0.492641
6,568,Undirected,47683,,,0.603141
6,370,Undirected,47684,,,0.586575
6,527,Undirected,47685,,,0.679069
6,955,Undirected,47686,,,0.47505
6,931,Undirected,47687,,,0.578943
6,402,Undirected,47688,,,0.596159
6,683,Undirected,47689,,,0.583515
6,769,Undirected,47690,,,0.544621
6,759,Undirected,47691,,,0.632787
6,264,Undirected,47692,,,0.636495
6,789,Undirected,47693,,,0.580848
6,210,Undirected,47694,,,0.701667
6,972,Undirected,47695,,,0.503448
6,614,Undirected,47696,,,0.53309
6,74,Undirected,47697,,,0.706078
6,599,Undirected,47698,,,0.573779
6,946,Undirected,47699,,,0.520627
6,251,Undirected,47700,,,0.572897
6,167,Undirected,47701,,,0.564328
6,249,Undirected,47702,,,0.630341
6,651,Undirected,47703,,,0.467442
6,244,Undirected,47704,,,0.646778
6,608,Undirected,47705,,,0.583777
6,916,Undirected,47706,,,0.461156
6,9,Undirected,47707,,,0.700489
6,129,Undirected,47708,,,0.570172
6,410,Undirected,47709,,,0.567297
6,46,Undirected,47710,,,0.672578
6,358,Undirected,47711,,,0.638645
6,219,Undirected,47712,,,0.551107
6,262,Undirected,47713,,,0.701609
6,389,Undirected,47714,,,0.564099
6,237,Undirected,47715,,,0.57266
6,202,Undirected,47716,,,0.615973
6,762,Undirected,47717,,,0.637813
6,204,Undirected,47718,,,0.678457
7,86,Undirected,47719,,,0.536637
7,103,Undirected,47720,,,0.719362
7,166,Undirected,47721,,,0.550071
7,68,Undirected,47722,,,0.678146
7,236,Undirected,47723,,,0.552855
7,72,Undirected,47724,,,0.65614
7,258,Undirected,47725,,,0.478569
7,263,Undirected,47726,,,0.599509
7,271,Undirected,47727,,,0.530583
7,238,Undirected,47728,,,0.581555
7,347,Undirected,47729,,,0.601375
7,348,Undirected,47730,,,0.502489
7,349,Undirected,47731,,,0.61072
7,369,Undirected,47732,,,0.440579
7,87,Undirected,47733,,,0.678077
7,217,Undirected,47734,,,0.677219
7,401,Undirected,47735,,,0.555197
7,70,Undirected,47736,,,0.770527
7,433,Undirected,47737,,,0.530428
7,443,Undirected,47738,,,0.485415
7,452,Undirected,47739,,,0.677925
7,304,Undirected,47740,,,0.635985
7,457,Undirected,47741,,,0.687807
7,493,Undirected,47742,,,0.476654
7,93,Undirected,47743,,,0.650098
7,497,Undirected,47744,,,0.463332
7,474,Undirected,47745,,,0.543434
7,514,Undirected,47746,,,0.610513
7,269,Undirected,47747,,,0.667841
7,540,Undirected,47748,,,0.640986
7,323,Undirected,47749,,,0.643716
7,169,Undirected,47750,,,0.665317
